,title,subtitle,link
0,MEGA BECKS,David Beckham lands seven-figure pay cheque to front Qatar World Cup ad campaign,https://www.thesun.co.uk/sport/19880143/david-beckham-multi-million-deal-qatar-advert/
1,JOR-DROPPING,Henderson joins Dier in slamming fan abuse and says family will SKIP World Cup,https://www.thesun.co.uk/sport/19881559/jordan-henderson-family-skip-world-cup-fan-abuse/
2,'WHAT'S THE PROBLEM?',Grealish baffled why Souness 'always criticises me' as he hits back,https://www.thesun.co.uk/sport/19880828/jack-grealish-souness-criticism-baffling-england/
3,RAM WARNING,Derby AXE boss Rosenior just three months after Rooney quit with Warne targeted,https://www.thesun.co.uk/sport/19879775/derby-axe-rosenior-warne-rotherham-approached/
4,HUGE DEAL,How to claim £20 in free bets on the Nations League this week with Sporting Index,https://www.thesun.co.uk/sport/betting-tips/19796308/claim-20-free-bets-sporting-index/
5,NO HASSEL,Aubameyang can be first Chelsea star to hit 20 Prem goals in season since Costa,https://www.thesun.co.uk/sport/19880400/aubameyang-chelsea-costa-20-prem-goals-hasselbaink/
6,UNITED AGAINST HATE,Harry Kane to wear OneLove armband in Qatar to fight discrimination,https://www.thesun.co.uk/sport/19873597/england-harry-kane-onelove-armband-qatar-world-cup/
7,HERO'S GIFT,England World Cup winner Roger Hunt left over £500k to his family in his will,https://www.thesun.co.uk/sport/19880706/england-world-cup-roger-hunt-left-500k-to-family/
8,SCOTLAND 3 UKRAINE 0,McGinn and Dykes strike in emphatic win as Scots go top of group,https://www.thesun.co.uk/sport/19881584/scotland-ukraine-mcginn-dykes-clarke-nations-league-group/
9,PARTY STARTER,PartyCasino offer: How to claim an incredible 120 FREE SPINS on Starburst,https://www.thesun.co.uk/sport/betting-tips/19333615/partycasino-120-free-spins-new-customer-bonus-offer/
10,LION KING,"Messi's '2020 Barca demands leaked', including VIP box for Suarez and private jet",https://www.thesun.co.uk/sport/19877928/lionel-messi-barcelona-contract-demands-leaked-luis-suarez/
11,CRUEL BLOW,Everton and Scotland star Nathan Patterson stretchered off against Ukraine,https://www.thesun.co.uk/sport/19881530/nathan-patterson-injury-everton-scotland-stretchered-ukraine/
12,BONDAR VILLAIN,Fans say same thing as goalbound Adams is 'assaulted' but rival escapes red,https://www.thesun.co.uk/sport/19881487/che-adams-scotland-ukraine-bondar-foul-yellow-card/
13,ETHAN AWAITS,"Headteacher tips 'next Fabregas' & Arsenal kid Nwaneri, 15, for England glory",https://www.thesun.co.uk/sport/19881142/nwaneri-arsenal-next-fabregas-england-star-says-headteacher-tardios/
14,PRESERVED 'HAM,Amazing 2002 video of York spell shows Chelsea boss Potter has hardly aged,https://www.thesun.co.uk/sport/19878442/graham-potter-chelsea-not-aged-york-2002-video/
15,CARROLL RINGER,Nunez savagely trolled as 'modern day Carroll' after horror miss in training,https://www.thesun.co.uk/sport/19876961/darwin-nunez-liverpool-awful-shot-foul-uruguay-training/
16,ANTONI-GO?,Spurs boss Conte linked with Juventus return to replace Allegri despite turmoil,https://www.thesun.co.uk/sport/19879173/antonio-conte-juventus-allegri-replacement/
17,'GHOST' THANKED,Bayern reward fan for HACKING into club website with a signed Muller top,https://www.thesun.co.uk/sport/19880305/bayern-munich-hacker-gets-thomas-muller-website/
18,IN A HARRY,Merson reveals he personally called Maguire to apologise for transfer comment,https://www.thesun.co.uk/sport/19875345/paul-merson-harry-maguire-apologise-85m-transfer/
19,LIGHTS OUT,EFL sides look at lunchtime kick-offs during the winter to save on energy bills,https://www.thesun.co.uk/sport/19876515/efl-lunchtime-kick-offs-winter-energy-bills/
20,RED RAGE,Shreeves recalls Fergie rant after Ronaldo dive query and nearly blinding the boss,https://www.thesun.co.uk/sport/19868940/alex-ferguson-geoff-shreeves-man-utd-ronaldo/
21,STAYING TUCH,Thomas Tuchel still in London as ex-Chelsea manager poses with fan in street,https://www.thesun.co.uk/sport/19872698/thomas-tuchel-chelsea-fan-photo-london-bayern-munich/
22,BLUES SCANDAL,Chelsea SACK senior exec amid sexual harassment claim as X-rated texts leaked,https://www.thesun.co.uk/sport/19870198/chelsea-sack-damian-willoughby-sexual-harassment-claims-texts/
23,GOAL KIDS,Youngest ever Premier League goalscorers with Rooney just third and Owen fifth,https://www.thesun.co.uk/sport/19872755/youngest-premier-league-scorers-wayne-rooney-michael-owen/
24,TY-ME TO RELAX,Ten Hag told Man Utd new boys to go easy after fierce battles in Holland,https://www.thesun.co.uk/sport/19879762/ten-hag-man-utd-malacia-antony-fierce-battles/
25,SESS EDUCATION,Sessegnon tells how Conte is turning Tottenham players into powerhouses,https://www.thesun.co.uk/sport/19877270/ryan-sessegnon-antonio-conte-killer-tottenham/
26,HEY JUDE,Bellingham at centre of £130m summer transfer battle with FIVE clubs interested,https://www.thesun.co.uk/sport/19874336/jude-bellingham-130m-transfer-man-utd-chelsea-five/
27,JES THE TICKET,Arsenal 'contact Frankfurt star Jesper Lindstrom over January swoop',https://www.thesun.co.uk/sport/19875453/arsenal-contact-frankfurt-jesper-lindstrom-january-transfer/
28,YOUNG GUN,The 11 youngest Premier League players EVER and where they are now,https://www.thesun.co.uk/sport/19849576/premier-league-youngest-ever-players-ethan-nwaneri/
29,VANGUARD,Man Utd 'working on deal for Monaco ace Vanderson' but face Barcelona competition,https://www.thesun.co.uk/sport/19872582/man-utd-vanderson-transfer-monaco-barcelona/
30,MAUR TO COME,Pochettino 'holding out for Premier League return despite interest from Nice',https://www.thesun.co.uk/sport/19872288/mauricio-pochettino-tottenham-premier-league-return-psg-ogc-nice/
31,RUD AWAKENING,Rudiger deliberately wound up opponents at Chelsea to 'wake the fans up',https://www.thesun.co.uk/sport/19878140/antonio-rudiger-wind-up-chelsea-wake-crowd-up/
32,WHAT A MAR,Martinez and Romero left stranded and unable to link up with Argentina,https://www.thesun.co.uk/sport/19870906/man-utd-martinez-tottenham-romero-stranded-argentina/
33,FORTUNE TELLER,Supercomputer predicts England XI to start World Cup clash vs Iran,https://www.thesun.co.uk/sport/19864369/supercomputer-england-world-cup-iran-man-utd/
34,REAL SHAME,Bale takes swipe at Real as he reveals he's 'in good shape' ahead of World Cup,https://www.thesun.co.uk/sport/19881299/gareth-bale-real-madrid-swipe-wales-world-cup/
35,NEU WAY,Neuer and Goretzka OUT of Germany Nations League game against England with Covid,https://www.thesun.co.uk/sport/19875352/manuel-neuer-leon-goretzka-germany-nations-league-england-covid/
36,RUS BOOT,Russia ALREADY out of Euro 2024 as Uefa boot team out of qualifying draw,https://www.thesun.co.uk/sport/19866575/uefa-boot-russia-from-euro-2024/
37,BREW WHAT?,England fans will be able to drink beer at World Cup - but there's a big catch,https://www.thesun.co.uk/sport/19868617/england-fans-alcohol-world-cup-qatar/
38,BET BOOST,How to get free bets on today's horse racing - the best bookies offers & rewards,https://www.thesun.co.uk/sport/betting-tips/19779277/free-bets-horse-racing-best-bookies-offers-rewards-new/
39,CASINO BONUS,"Today’s best casino free spins, sign-up offers and bonus welcome deals",https://www.thesun.co.uk/sport/betting-tips/19724138/casino-free-spins-welcome-offers/
40,FREE BETS,Get £30 free bets to spend on UEFA Nations League football with Spreadex,https://www.thesun.co.uk/sport/betting-tips/19802711/spreadex-free-bets-30/
41,PAINT BY NUMBERS,Benfica hilariously paint over star's No9 shirt to create new number,https://www.thesun.co.uk/sport/19873068/nycole-raysla-benfica-glasgow-rangers/
42,WALE OF A TIME,Bale takes dig at Real as he thanks LAFC fans for 'making me feel at home',https://www.thesun.co.uk/sport/19875845/gareth-bale-real-madrid-dig-lafc-fans/
43,GROUNDS FOR CONCERN,England faces having just five Euro 2028 stadiums - with 'Anfield OUT',https://www.thesun.co.uk/sport/19868140/england-euro-bid-2028-anfield/
44,WHAT JU DOING?,Juventus in TURMOIL as Allegri fights for job and Ultras turn on Bonucci,https://www.thesun.co.uk/sport/19871275/juventus-allegri-job-ultras-bonucci-serie-a-de-ligt/
45,SERGI-GO?,Busquets 'set to sign for Inter Miami on free after deciding to QUIT Barcelona',https://www.thesun.co.uk/sport/19873769/busquets-inter-miami-beckham-free-transfer-barcelona/
46,CROUCHING TIGER,"Pulis' Stoke only team who could beat Pep's prime Barcelona, claims Crouch",https://www.thesun.co.uk/sport/19873725/barcelona-stoke-peter-crouch-tony-pulis-pep-guardiola/
47,REST IN PEACE,Footballer Schindelholz dies aged 34 with team-mates in tears at announcement,https://www.thesun.co.uk/sport/football/19860064/nicolas-schindelholz-dead-cancer/
48,CRYING SHAME,Watch star's family in TEARS as they see ace get red card 9 SECONDS into debut,https://www.thesun.co.uk/sport/19842806/footballer-family-tears-red-card/
49,SIGNING OFF,Charlie Adam RETIRES with touching clip of him signing for Gers as a teenager,https://www.thesun.co.uk/sport/19875218/charlie-adam-retires-emotional-instagram-post-signing-rangers/
50,WAYNE'S WORLD,Rooney praised by Neville after subbing player accused of making racist slur,https://www.thesun.co.uk/sport/19858741/wayne-rooney-phil-neville-racism-inter-miami-dc-united/
51,CRITICAL MASS,Watch Allegri given POLICE ESCORT back to his car after Juventus’ shock loss,https://www.thesun.co.uk/sport/19851895/allegri-juventus-monza-loss-fans/
52,COMING TU GET YOU,Thomas Tuchel linked with Bayern as pressure grows on Nagelsmann,https://www.thesun.co.uk/sport/19852853/chelsea-tuchel-bayern-nagelsmann/
53,OH MAN,Man Utd overpaid by £210m on transfers in last decade - more than any other club,https://www.thesun.co.uk/sport/19860400/man-utd-overpaid-transfers-arsenal-chelsea/
54,RALF RAGE,Ralf Rangnick ‘furious with Man Utd’ as club dithered over Julian Alvarez swoop,https://www.thesun.co.uk/sport/19874578/ralf-rangnick-man-utd-anger-julian-alvarez-transfer/
55,HEY JUDE,Utd legend Bryan Robson reveals regret over club failing to sign Jude Bellingham,https://www.thesun.co.uk/sport/19856421/man-utd-jude-bellingham-transfer-borussia-dortmund-bryan-robson/
56,GRIEZ LIGHTNING,Man Utd 'eye up Griezmann' as Atletico's row with Barca could force exit,https://www.thesun.co.uk/sport/19834533/man-utd-antoine-griezmann-atletico-madrid-barcelona/
57,KAN'T STOP US,Nottingham Forest secure 23RD transfer as Adnan Kanuric joins after deadline,https://www.thesun.co.uk/sport/19869084/nottingham-forest-confirm-23rd-signing-kanuric/
